frequency_mhz,symbol_rate_msps,power_dbm,noise_hex,noise_dec,locked,esno_db
950,1,-25,0X1C178,115064,True,10.47
950,1,-25,0X1C180,115072,True,10.26
950,1,-25,0X1C188,115080,True,10.13
950,1,-25,0X1C190,115088,True,9.87
950,1,-25,0X1C198,115096,True,9.67
950,1,-25,0X1C1A0,115104,True,9.55
950,1,-25,0X1C1A8,115112,True,9.36
950,1,-25,0X1C1B0,115120,True,9.19
950,1,-25,0X1C1B8,115128,True,9.03
950,1,-25,0X1C1C0,115136,True,8.8
950,1,-25,0X1C1C8,115144,True,8.71
950,1,-25,0X1C1D0,115152,True,8.52
950,1,-25,0X1C1D8,115160,True,8.39
950,1,-25,0X1C1E0,115168,True,8.19
950,1,-25,0X1C1E8,115176,True,8.04
950,1,-25,0X1C1F0,115184,True,7.88
950,1,-25,0X1C1F8,115192,True,7.73
950,1,-25,0X1C200,115200,True,7.6
950,1,-25,0X1C208,115208,True,7.44
950,1,-25,0X1C210,115216,True,7.28
950,1,-25,0X1C218,115224,True,7.19
950,1,-25,0X1C220,115232,True,7.01
950,1,-25,0X1C228,115240,True,6.88
950,1,-25,0X1C230,115248,True,6.71
950,1,-25,0X1C238,115256,True,6.6
950,1,-25,0X1C240,115264,True,6.46
950,1,-25,0X1C248,115272,True,6.31
950,1,-25,0X1C250,115280,True,6.22
950,1,-25,0X1C258,115288,True,6.03
950,1,-25,0X1C260,115296,True,5.94
950,1,-25,0X1C268,115304,True,5.84
950,1,-25,0X1C270,115312,True,5.7
950,1,-25,0X1C278,115320,True,5.65
950,1,-25,0X1C280,115328,True,5.48
950,1,-25,0X1C288,115336,True,5.37
950,1,-25,0X1C290,115344,True,5.24
950,1,-25,0X1C298,115352,True,5.12
950,1,-25,0X1C2A0,115360,True,5.0
950,1,-25,0X1C2A8,115368,True,4.85
950,1,-25,0X1C2B0,115376,True,4.79
950,1,-25,0X1C2B8,115384,True,4.65
950,1,-25,0X1C2C0,115392,True,4.52
950,1,-25,0X1C2C8,115400,True,4.44
950,1,-25,0X1C2D0,115408,True,4.34
950,1,-25,0X1C2D8,115416,True,4.26
950,1,-25,0X1C2E0,115424,True,4.14
950,1,-25,0X1C2E8,115432,True,4.05
950,1,-25,0X1C2F0,115440,True,3.92
950,1,-25,0X1C2F8,115448,True,3.82
950,1,-25,0X1C300,115456,True,3.72
950,1,-25,0X1C308,115464,True,3.62
950,1,-25,0X1C310,115472,True,3.54
950,1,-25,0X1C318,115480,True,3.39
950,1,-25,0X1C320,115488,True,3.32
950,1,-25,0X1C328,115496,True,3.24
950,1,-25,0X1C330,115504,True,3.2
950,1,-25,0X1C338,115512,True,3.08
950,1,-25,0X1C340,115520,True,2.97
950,1,-25,0X1C348,115528,True,2.89
950,1,-25,0X1C350,115536,True,2.84
950,1,-25,0X1C358,115544,True,2.67
950,1,-25,0X1C360,115552,True,2.62
950,1,-25,0X1C368,115560,True,2.56
950,1,-25,0X1C370,115568,True,2.43
950,1,-25,0X1C378,115576,True,2.35
950,1,-25,0X1C380,115584,True,2.28
950,1,-25,0X1C388,115592,True,2.2
950,1,-25,0X1C390,115600,True,2.09
950,1,-25,0X1C398,115608,True,2.03
950,1,-25,0X1C3A0,115616,True,1.93
950,1,-25,0X1C3A8,115624,True,1.85
950,1,-25,0X1C3B0,115632,True,1.78
950,1,-25,0X1C3B8,115640,True,1.7
950,1,-25,0X1C3C0,115648,True,1.6
